acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,id
0.375,0.672,111264,0.618,0.0505,6,0.117,-6.438,0,0.0471,80.154,4,0.516,4eW1hdI2gqGCnGyJbxuypD
0.54,0.634,203750,0.437,0.0,6,0.0818,-5.751,1,0.0396,130.011,3,0.334,6InFADfQlKU5EXJ1kGmf0i
0.0438,0.469,177638,0.839,0.703,9,0.388,-2.853,1,0.12,117.389,5,0.569,5PMR8jxKDmFG8LPbtt9CyU
0.179,0.408,267746,0.831,0.0,5,0.0521,-4.895,1,0.0511,95.213,3,0.423,68udiNDfKdsoO5eiPPGm56
0.168,0.359,250440,0.728,0.618,9,0.0982,-5.809,1,0.0311,152.364,4,0.325,6xQqcLXcm25CifTQ6IJ8Dc
0.774,0.688,274595,0.613,4.75e-06,10,0.102,-6.852,0,0.0325,134.037,4,0.639,5D6mLEg0BHNwI75yjcPRT0
0.0565,0.755,144156,0.858,0.0,1,0.0659,-6.97,1,0.14,99.974,4,0.885,741MrA14HfvmWFjHkwedF4
0.132,0.929,178320,0.663,0.00484,8,0.195,-6.341,1,0.118,124.998,4,0.744,1O92QcDPUzn37bx3TuAVz3
0.166,0.571,221214,0.448,9.27e-06,8,0.114,-6.261,1,0.0868,139.378,4,0.346,1Dl2e9b1bmxlCX5Pn8Br72
0.348,0.777,224000,0.44,1.28e-05,5,0.524,-13.706,0,0.198,89.995,4,0.89,58oprLT5K0kSLzGKdu8WxH
0.0113,0.537,322569,0.86,0.239,8,0.0714,-6.864,0,0.0451,174.023,4,0.333,5BJGamyRNYyxryglnKcXjl
0.658,0.503,224534,0.297,0.0681,3,0.111,-14.467,0,0.438,165.589,5,0.158,3ESQn5H8yKg1cPcPnBr1w5
0.0448,0.625,296523,0.661,0.00374,1,0.93,-7.922,1,0.0647,106.236,4,0.258,2ihGhgBYuX7ai0Yr6X2gQR
0.0847,0.766,242992,0.911,0.0,6,0.254,-4.521,0,0.31,144.081,4,0.942,2YjB6y1dGmA7okAes4r9rf
0.0153,0.561,204006,0.714,2.37e-05,4,0.0825,-7.608,1,0.0511,159.959,4,0.411,68iEB0O5SenBy6FWfezn5o
0.467,0.682,247317,0.755,0.0,11,0.0981,-5.878,0,0.0636,94.045,4,0.96,5pFHbVn6OGjgT0DTPxwF8X
0.0633,0.798,211088,0.634,0.0176,4,0.0961,-4.211,0,0.0359,118.991,4,0.868,41lMxOltse3sYRGxOoVICl
0.00168,0.686,194214,0.75,1.8e-06,6,0.118,-3.289,0,0.0314,101.953,4,0.613,3rz11uhMi83XJ0QYSGC9of
0.0145,0.666,151654,0.774,1.02e-05,1,0.0758,-5.715,1,0.246,103.911,4,0.437,0Jwqf8WzYlEtywz7opb9Uk
0.00387,0.536,201875,0.876,0.000442,8,0.0592,-5.503,1,0.196,184.22,4,0.682,2WGzDLofKXzEUV2cksDk1l
0.727,0.491,240522,0.295,0.0369,9,0.149,-12.797,1,0.0292,82.605,4,0.0398,2slPSwOa6A605bhQkrcSdi
0.181,0.655,238103,0.799,0.000631,1,0.106,-3.999,0,0.114,109.496,3,0.718,248OucLbzHIMTaUX3tuYp1
0.0334,0.791,247934,0.879,1.48e-06,2,0.0991,-4.737,1,0.0351,121.033,4,0.898,2IzsKQFYZJbhvTcHgIZTdC
0.0969,0.763,144421,0.806,0.00099,0,0.0587,-6.179,1,0.0695,108.036,4,0.88,3Z9z3j7csW2FbClfaYbXW8
0.884,0.655,232533,0.296,0.0,2,0.114,-10.578,1,0.0282,103.981,4,0.31,5O3eNPhckrOCxIBtR5SQLN
0.0935,0.325,207680,0.513,0.0,2,0.156,-6.542,1,0.0392,135.753,3,0.425,7jqsBIOx7CGhtNPNYxBWIj
0.0281,0.734,147128,0.873,0.0,2,0.134,-4.66,1,0.0475,101.974,4,0.858,7a3oZTEn23MLDArqsJjlad
0.982,0.433,162447,0.174,0.101,5,0.111,-18.791,0,0.0537,95.802,4,0.366,4JLcAU2xY90qTkTSNM1lUa
0.00118,0.543,348827,0.96,0.481,11,0.606,-8.666,0,0.0479,125.047,4,0.422,5C7rx6gH1kKZqDUxEI6n4l
0.584,0.592,299013,0.579,0.0143,2,0.155,-8.389,0,0.0281,127.941,4,0.241,5bJ9xijdU2B0MVCMbfjsGv
0.0768,0.641,167395,0.87,0.24,1,0.0934,-5.905,0,0.0355,118.989,4,0.182,1hzb3Ay1i5iIkKEPG8A8cH
0.182,0.669,205564,0.671,0.00014,0,0.159,-5.628,1,0.0434,141.998,4,0.882,1yI9dKcxR1aDVU3po7Yfy7
0.122,0.77,251997,0.904,0.00635,10,0.0995,-3.941,0,0.0832,127.896,4,0.91,5Gji4QClWRDLgH1ga9oEvb
0.0127,0.765,267692,0.841,0.303,9,0.15,-6.659,1,0.0853,117.031,4,0.71,67SdUpnALp42jMq0mATVYV
0.00543,0.765,348630,0.921,0.311,4,0.289,-4.308,0,0.0388,123.988,4,0.282,0lztTsHnKgB0zO27dwvK8Y
0.000984,0.18,230042,0.55,2.28e-05,9,0.117,-12.436,0,0.0382,79.378,4,0.549,1iXcq9tzShb3JQR4xNJixK
0.00932,0.526,171888,0.884,0.108,8,0.0386,-4.78,1,0.0453,149.395,4,0.457,4ZJxW7CKMMqPdMJcraa6zZ
0.89,0.516,203293,0.428,3.72e-06,7,0.1,-11.583,0,0.0483,90.136,4,0.105,6mTeVIfoK6kxITJUQzvhY3
0.531,0.523,177703,0.417,0.0111,5,0.101,-13.081,0,0.338,118.395,5,0.348,63pEJLtuuf9JvzrxNJw0MO
0.059,0.518,187400,0.9,0.0,11,0.419,-6.202,1,0.239,168.051,4,0.739,0VughFCmfCAbSPwfAUNWeU
0.724,0.788,209340,0.418,0.000952,2,0.115,-13.426,1,0.0329,126.047,4,0.681,1LCOSL0WB40LPfZchIGAwj
0.053,0.61,214181,0.738,0.0,11,0.348,-5.897,1,0.0282,96.995,4,0.396,6tZSP5qZzyN8AHRjOZlO9B
0.000961,0.505,212053,0.794,2.2e-06,5,0.119,-5.036,1,0.0387,114.958,4,0.485,01xjqoUWoot91eGoYy7JDJ
0.68,0.597,172375,0.768,0.0,0,0.221,-5.911,1,0.269,133.622,4,0.494,1xxkpoTkzUQoN1TkNwzIw7
0.768,0.828,286125,0.351,0.0214,1,0.2,-15.391,0,0.31,95.027,4,0.458,2a0t5RZiopwpgBuxebNS9W
0.747,0.392,294693,0.593,0.846,2,0.109,-9.666,1,0.0359,157.626,3,0.165,60x0JnIVN1ou3qzAlRWVOv
0.0195,0.645,231072,0.61,0.0,0,0.0981,-6.13,0,0.0409,90.0,4,0.154,7gsFYADWv5e357f66zDXka
0.0632,0.539,101156,0.936,0.0,0,0.373,-2.831,0,0.0953,160.019,4,0.962,2kRGvesjW6DsXPfSrhjYVp
0.0865,0.441,231695,0.818,0.0106,8,0.103,-5.88,1,0.044,174.025,4,0.0716,5nCZJANO7eTKUQ2rMnGfRM
0.0212,0.627,261062,0.956,0.000739,1,0.335,-4.131,1,0.0528,97.513,4,0.928,5XBFoWsNFfUkN3mA7U3kS4
0.0728,0.683,197706,0.685,0.0,2,0.108,-9.221,1,0.0655,177.997,4,0.884,1LQWqtCeKbzhMVdTmR0M4r
0.1,0.484,271099,0.806,0.0,0,0.353,-6.212,1,0.128,79.563,4,0.543,3WeOnv5DR73ma12HXpj13d
0.372,0.85,153906,0.553,0.0,7,0.106,-2.479,1,0.358,91.902,4,0.404,4iwz6LW4eF8UbYMdSJBqd6
0.635,0.417,230000,0.425,0.909,11,0.0928,-10.777,0,0.0294,116.563,3,0.199,0q5ixJkhLK79F4kIpCjQyv
0.0883,0.788,175573,0.717,0.439,11,0.125,-5.884,0,0.0614,117.971,4,0.511,6XD3WVVRpDze2m986MkTvR
0.884,0.607,112375,0.382,0.0,0,0.13,-8.695,1,0.0405,116.097,4,0.423,67iN0JhX6JkyQq8BtMChqd
0.00101,0.734,212000,0.714,2.38e-05,0,0.177,-7.627,1,0.0366,115.019,4,0.755,5ljnmhFJ5MfB29ZjojdppU
6.18e-05,0.24,540320,0.502,0.0807,7,0.0723,-7.359,1,0.0356,85.106,4,0.3,6iEJblpwINKepxaYOs6a3g
0.278,0.747,202125,0.532,0.0,9,0.156,-6.7,1,0.247,90.027,4,0.352,09xsJizgU6bmdgqmDeGfwM
0.0219,0.561,193125,0.713,7.73e-06,1,0.204,-6.226,1,0.434,85.352,5,0.367,7x3GXp8wWxpMpour7ES1YQ
0.957,0.499,193760,0.128,0.558,2,0.153,-21.528,0,0.0344,118.869,3,0.245,6OXHl7OtYOLGqSEEcDR3Px
0.356,0.501,247960,0.441,9.29e-06,9,0.112,-8.494,0,0.0381,135.251,4,0.366,5N698OHyGrgxTzsCBR039D
